WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [16/Aug/2026 13:09:38] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:09:52] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_city_county_relation?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:10:24] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_user_type_cnt?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:10:24] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_city_county_relation?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_city_county_relation?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_event_detail_outage_stats_list?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_line_outage_real_time_key_sen_gzxltj?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_history_outage_key?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_real_time_outage_key_sen?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_real_time_outage_key_sen_jsd?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_real_time_outage_key?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:58] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_user_appeal_type_cnt?appCode=111 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:58] "POST /cst/xnykgkc/rds/post_ads_cst_xnykgkc_user_type_cnt?appCode=111 HTTP/1.1" 200 -
