WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.225:5001
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 108-167-082
127.0.0.1 - - [16/Aug/2026 13:09:38] "GET /api/v1/health HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:09:52] "POST /api/v1/outage-users/counties HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:10:24] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:10:24] "POST /api/v1/outage-users/counties HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/counties HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/fault-location HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/time-trend HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:53] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:58] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:12:58] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:04] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:04] "POST /api/v1/outage-users/time-trend HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:04] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:04] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:04] "POST /api/v1/outage-users/fault-location HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:04] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:05] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:05] "POST /api/v1/outage-users/fault-location HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 13:13:05] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 200 -
