WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.225:5001
Press CTRL+C to quit
127.0.0.1 - - [16/Aug/2026 11:17:42] "GET /api/v1/health HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 11:18:52] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:53] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:54] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:54] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:54] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:54] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:54] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:18:54] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:06] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:07] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:07] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:07] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:07] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:07] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:07] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:11] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:17] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:17] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:19:18] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:27] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:28] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:28] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:28] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:28] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:28] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:29] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:29] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:37] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:38] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:44] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:45] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:45] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:45] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:45] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:45] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:45] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:47] "POST /api/v1/outage-users/time-trend/chart HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:20:47] "POST /api/v1/outage-users/time-trend/users/real-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:23:18] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:23:18] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:40] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:41] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:42] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:42] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:42] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:42] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:42] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:42] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:45] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:46] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:46] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:46] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:46] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:46] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:46] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:47] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:49] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:49] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:49] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:49] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:49] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:49] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:52] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:52] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
